"","tail_num","sum_airtime","num_flights","airline","total_delay","n_delays","avg_airtime","avg_delay","pct_delay","Top25pct_AA","Top25pct_BA","Bottom25pct_AA","Bottom25pct_BA"
"906",N594NW,43373,184,BA,-7,57,235.722826086957,-0.0380434782608696,0.309782608695652,FALSE,TRUE,FALSE,FALSE
"647",N595NW,43371,190,BA,1658,81,228.268421052632,8.72631578947368,0.426315789473684,FALSE,TRUE,FALSE,FALSE
"1048",N593NW,43361,187,BA,915,83,231.877005347594,4.89304812834225,0.443850267379679,FALSE,TRUE,FALSE,FALSE
"400",N591NW,43305,186,BA,137,59,232.822580645161,0.736559139784946,0.317204301075269,FALSE,TRUE,FALSE,FALSE
"1298",N586NW,43027,181,BA,2782,73,237.718232044199,15.3701657458564,0.403314917127072,FALSE,TRUE,FALSE,FALSE
"982",N115NN,42898,140,AA,481,36,306.414285714286,3.43571428571429,0.257142857142857,TRUE,FALSE,FALSE,FALSE
"376",N105NN,42742,139,AA,-404,44,307.496402877698,-2.90647482014389,0.316546762589928,TRUE,FALSE,FALSE,FALSE
"850",N547US,42640,168,BA,917,59,253.809523809524,5.45833333333333,0.351190476190476,FALSE,TRUE,FALSE,FALSE
"1441",N535US,42484,172,BA,1209,54,247,7.02906976744186,0.313953488372093,FALSE,TRUE,FALSE,FALSE
"330",N581NW,42267,188,BA,1227,68,224.824468085106,6.52659574468085,0.361702127659574,FALSE,TRUE,FALSE,FALSE
"1428",N110AN,42162,139,AA,232,49,303.323741007194,1.66906474820144,0.352517985611511,TRUE,FALSE,FALSE,FALSE
"568",N589NW,42083,184,BA,899,62,228.711956521739,4.88586956521739,0.33695652173913,FALSE,TRUE,FALSE,FALSE
"1092",N123NN,42047,164,AA,159,52,256.384146341463,0.969512195121951,0.317073170731707,TRUE,FALSE,FALSE,FALSE
"911",N129AA,42021,189,AA,1844,68,222.333333333333,9.75661375661376,0.35978835978836,TRUE,FALSE,FALSE,FALSE
"1055",N126AN,42021,174,AA,135,60,241.5,0.775862068965517,0.344827586206897,TRUE,FALSE,FALSE,FALSE
"1100",N127AA,41784,160,AA,403,52,261.15,2.51875,0.325,TRUE,FALSE,FALSE,FALSE
"567",N104NN,41729,134,AA,855,43,311.410447761194,6.38059701492537,0.32089552238806,TRUE,FALSE,FALSE,FALSE
"1292",N928DU,41620,244,BA,-366,62,170.573770491803,-1.5,0.254098360655738,FALSE,TRUE,FALSE,FALSE
"1173",N132AN,41363,163,AA,1050,68,253.760736196319,6.44171779141104,0.417177914110429,TRUE,FALSE,FALSE,FALSE
"1266",N536US,41342,185,BA,2157,82,223.47027027027,11.6594594594595,0.443243243243243,FALSE,TRUE,FALSE,FALSE
"213",N583NW,41267,181,BA,1180,74,227.994475138122,6.51933701657459,0.408839779005525,FALSE,TRUE,FALSE,FALSE
"734",N134AN,41208,156,AA,2643,67,264.153846153846,16.9423076923077,0.429487179487179,TRUE,FALSE,FALSE,FALSE
"1399",N582NW,41173,176,BA,-275,54,233.9375,-1.5625,0.306818181818182,FALSE,TRUE,FALSE,FALSE
"1479",N546US,41090,167,BA,658,55,246.047904191617,3.94011976047904,0.329341317365269,FALSE,TRUE,FALSE,FALSE
